year,,name,value,lastValue
2013,,Car Accessories,47533.95,47533.95
2013,,Cash/Document,54278,54278
2013,,Cigarettes/Liquor,2202,2202
2013,,Clothing,11540,11540
2013,,Domestic Pets,0,0
2013,,Electrical Appliances,203867,203867
2013,,Firearms/Ammunition,30460,30460
2013,,Food,6623,6623
2013,,Furniture,2718,2718
2013,,Garden Items,223363,223363
2013,,Household Items,46600,46600
2013,,Jewellery,17820,17820
2013,,Livestock,1944564,1944564
2013,,Marine Property,62149.9,62149.9
2013,,Personal Property,29671,29671
2013,,Photographic Equip,5892,5892
2013,,Power Tools,466646.5,466646.5
2013,,Sporting Goods,71144.85,71144.85
2013,,Timber/Build Mat,156196.2,156196.2
2013,,Tools,209812.94,209812.94
2013,,TV/VCR,3950,3950
2013,,Weapons,80,80
2014,Car Accessories,Car Accessories,79188,47533.95
2014,Cash/Document,Cash/Document,27073,54278
2014,Cigarettes/Liquor,Cigarettes/Liquor,425,2202
2014,Clothing,Clothing,12780,11540
2014,Domestic Pets,Domestic Pets,13000,0
2014,Electrical Appliances,Electrical Appliances,130451,203867
2014,Firearms/Ammunition,Firearms/Ammunition,17530,30460
2014,Food,Food,6223,6623
2014,Furniture,Furniture,5933,2718
2014,Garden Items,Garden Items,128202,223363
2014,Household Items,Household Items,16398,46600
2014,Jewellery,Jewellery,28580,17820
2014,Livestock,Livestock,1842014,1944564
2014,Marine Property,Marine Property,11480,62149.9
2014,Personal Property,Personal Property,6359,29671
2014,Photographic Equip,Photographic Equip,12918,5892
2014,Power Tools,Power Tools,341356,466646.5
2014,Sporting Goods,Sporting Goods,68941.75,71144.85
2014,Timber/Build Mat,Timber/Build Mat,175483.5,156196.2
2014,Tools,Tools,197916.31,209812.94
2014,TV/VCR,TV/VCR,5150,3950
2015,Car Accessories,Car Accessories,69847,79188
2015,Cash/Document,Cash/Document,63532,27073
2015,Cigarettes/Liquor,Cigarettes/Liquor,6145,425
2015,Clothing,Clothing,27558,12780
2015,Domestic Pets,Domestic Pets,23200,13000
2015,Electrical Appliances,Electrical Appliances,515873,130451
2015,Firearms/Ammunition,Firearms/Ammunition,25280,17530
2015,Food,Food,35246,6223
2015,Furniture,Furniture,5560,5933
2015,Garden Items,Garden Items,130506,128202
2015,Household Items,Household Items,30105,16398
2015,Jewellery,Jewellery,10020,28580
2015,Livestock,Livestock,2966636,1842014
2015,Marine Property,Marine Property,21617,11480
2015,Personal Property,Personal Property,21828,6359
2015,Photographic Equip,Photographic Equip,12941,12918
2015,,Police Property,100,0
2015,Power Tools,Power Tools,450809.45,341356
2015,Sporting Goods,Sporting Goods,113726,68941.75
2015,Timber/Build Mat,Timber/Build Mat,120992.75,175483.5
2015,Tools,Tools,255907.4,197916.31
2015,TV/VCR,TV/VCR,8180,5150
2015,,Weapons,1400,80
2016,Car Accessories,Car Accessories,72066,69847
2016,Cash/Document,Cash/Document,33822,63532
2016,Cigarettes/Liquor,Cigarettes/Liquor,930,6145
2016,Clothing,Clothing,6164,27558
2016,Domestic Pets,Domestic Pets,6030,23200
2016,Electrical Appliances,Electrical Appliances,139952.5,515873
2016,Firearms/Ammunition,Firearms/Ammunition,52715,25280
2016,Food,Food,5003,35246
2016,Furniture,Furniture,22790,5560
2016,Garden Items,Garden Items,203145,130506
2016,Household Items,Household Items,34550.5,30105
2016,Jewellery,Jewellery,82850,10020
2016,Livestock,Livestock,2097820,2966636
2016,Marine Property,Marine Property,217310,21617
2016,Personal Property,Personal Property,67663,21828
2016,Photographic Equip,Photographic Equip,19884,12941
2016,Power Tools,Power Tools,523767.95,450809.45
2016,Sporting Goods,Sporting Goods,231172,113726
2016,Timber/Build Mat,Timber/Build Mat,149062,120992.75
2016,Tools,Tools,276933.96,255907.4
2016,TV/VCR,TV/VCR,17560,8180
2016,Weapons,Weapons,1200,1400
2017,Car Accessories,Car Accessories,136043,72066
2017,Cash/Document,Cash/Document,88183,33822
2017,Cigarettes/Liquor,Cigarettes/Liquor,6730,930
2017,Clothing,Clothing,18255,6164
2017,Domestic Pets,Domestic Pets,800,6030
2017,Electrical Appliances,Electrical Appliances,224507.13,139952.5
2017,Firearms/Ammunition,Firearms/Ammunition,16334,52715
2017,Food,Food,76106,5003
2017,Furniture,Furniture,21030,22790
2017,Garden Items,Garden Items,190245,203145
2017,Household Items,Household Items,20571,34550.5
2017,Jewellery,Jewellery,194559,82850
2017,Livestock,Livestock,2736008,2097820
2017,Marine Property,Marine Property,62000,217310
2017,Personal Property,Personal Property,52071,67663
2017,Photographic Equip,Photographic Equip,26224,19884
2017,Power Tools,Power Tools,482762,523767.95
2017,Sporting Goods,Sporting Goods,57000,231172
2017,Timber/Build Mat,Timber/Build Mat,120155.82,149062
2017,Tools,Tools,344743.96,276933.96
2017,TV/VCR,TV/VCR,18949,17560
2017,Weapons,Weapons,100,1200
2018,Car Accessories,Car Accessories,77370,136043
2018,Cash/Document,Cash/Document,341191,88183
2018,Cigarettes/Liquor,Cigarettes/Liquor,1895,6730
2018,Clothing,Clothing,15106.75,18255
2018,Domestic Pets,Domestic Pets,13500,800
2018,Electrical Appliances,Electrical Appliances,320282.4,224507.13
2018,Firearms/Ammunition,Firearms/Ammunition,50120,16334
2018,Food,Food,39812.1,76106
2018,Furniture,Furniture,5075,21030
2018,Garden Items,Garden Items,200331,190245
2018,Household Items,Household Items,38331,20571
2018,Jewellery,Jewellery,89715,194559
2018,Livestock,Livestock,4164152,2736008
2018,Marine Property,Marine Property,70500,62000
2018,Personal Property,Personal Property,74366.47,52071
2018,Photographic Equip,Photographic Equip,15391,26224
2018,Power Tools,Power Tools,599169.74,482762
2018,Sporting Goods,Sporting Goods,111115.72,57000
2018,Timber/Build Mat,Timber/Build Mat,119201,120155.82
2018,Tools,Tools,392590.4,344743.96
2018,TV/VCR,TV/VCR,5479,18949
2018,Weapons,Weapons,620,100
2019,Car Accessories,Car Accessories,126578,77370
2019,Cash/Document,Cash/Document,87644,341191
2019,Cigarettes/Liquor,Cigarettes/Liquor,278900,1895
2019,Clothing,Clothing,15571,15106.75
2019,Domestic Pets,Domestic Pets,13550,13500
2019,Electrical Appliances,Electrical Appliances,429158,320282.4
2019,Firearms/Ammunition,Firearms/Ammunition,40149,50120
2019,Food,Food,9872,39812.1
2019,Furniture,Furniture,12748,5075
2019,Garden Items,Garden Items,224573,200331
2019,Household Items,Household Items,20300,38331
2019,Jewellery,Jewellery,500187,89715
2019,Livestock,Livestock,4200908,4164152
2019,Marine Property,Marine Property,112680,70500
2019,Personal Property,Personal Property,31141,74366.47
2019,Photographic Equip,Photographic Equip,29276,15391
2019,Power Tools,Power Tools,521495,599169.74
2019,Sporting Goods,Sporting Goods,78973,111115.72
2019,Timber/Build Mat,Timber/Build Mat,509334,119201
2019,Tools,Tools,409204,392590.4
2019,TV/VCR,TV/VCR,16675,5479
2019,Weapons,Weapons,50,620
2020,Car Accessories,Car Accessories,97060,126578
2020,Cash/Document,Cash/Document,82444,87644
2020,Cigarettes/Liquor,Cigarettes/Liquor,8900,278900
2020,Clothing,Clothing,6490,15571
2020,Domestic Pets,Domestic Pets,50350,13550
2020,Electrical Appliances,Electrical Appliances,243787.15,429158
2020,Firearms/Ammunition,Firearms/Ammunition,27910,40149
2020,Food,Food,20780,9872
2020,Furniture,Furniture,38400,12748
2020,Garden Items,Garden Items,321742,224573
2020,Household Items,Household Items,70314,20300
2020,Jewellery,Jewellery,49300,500187
2020,Livestock,Livestock,3957346,4200908
2020,Marine Property,Marine Property,128165,112680
2020,Personal Property,Personal Property,9127,31141
2020,Photographic Equip,Photographic Equip,22218,29276
2020,Power Tools,Power Tools,566371.5,521495
2020,Sporting Goods,Sporting Goods,97386,78973
2020,Timber/Build Mat,Timber/Build Mat,253409.9,509334
2020,Tools,Tools,331160,409204
2020,TV/VCR,TV/VCR,7548,16675
2020,Weapons,Weapons,1600,50
2021,Car Accessories,Car Accessories,119193,97060
2021,Cash/Document,Cash/Document,230225,82444
2021,Cigarettes/Liquor,Cigarettes/Liquor,2610,8900
2021,Clothing,Clothing,8365.5,6490
2021,Domestic Pets,Domestic Pets,41900,50350
2021,Electrical Appliances,Electrical Appliances,122353,243787.15
2021,Firearms/Ammunition,Firearms/Ammunition,25600,27910
2021,Food,Food,109840,20780
2021,Furniture,Furniture,3200,38400
2021,Garden Items,Garden Items,225515.95,321742
2021,Household Items,Household Items,59840,70314
2021,Jewellery,Jewellery,185343.03,49300
2021,Livestock,Livestock,5536034,3957346
2021,Marine Property,Marine Property,75200,128165
2021,Personal Property,Personal Property,46109.27,9127
2021,Photographic Equip,Photographic Equip,15738,22218
2021,Power Tools,Power Tools,620311.2,566371.5
2021,Sporting Goods,Sporting Goods,49630,97386
2021,Timber/Build Mat,Timber/Build Mat,1143805,253409.9
2021,Tools,Tools,250402.88,331160
2021,TV/VCR,TV/VCR,10850,7548
2021,Weapons,Weapons,200,1600
2022,Car Accessories,Car Accessories,96476,119193
2022,Cash/Document,Cash/Document,295513,230225
2022,Cigarettes/Liquor,Cigarettes/Liquor,104,2610
2022,Clothing,Clothing,4989,8365.5
2022,Domestic Pets,Domestic Pets,0,41900
2022,Electrical Appliances,Electrical Appliances,228272,122353
2022,Firearms/Ammunition,Firearms/Ammunition,19665,25600
2022,Food,Food,67990,109840
2022,Furniture,Furniture,16760,3200
2022,Garden Items,Garden Items,214512,225515.95
2022,Household Items,Household Items,22335,59840
2022,Jewellery,Jewellery,73189,185343.03
2022,Livestock,Livestock,3175588,5536034
2022,Marine Property,Marine Property,60110,75200
2022,Personal Property,Personal Property,264566.1,46109.27
2022,Photographic Equip,Photographic Equip,13628,15738
2022,Power Tools,Power Tools,475860,620311.2
2022,Sporting Goods,Sporting Goods,45110,49630
2022,Timber/Build Mat,Timber/Build Mat,106990,1143805
2022,Tools,Tools,257509.5,250402.88
2022,TV/VCR,TV/VCR,3500,10850
2022,Weapons,Weapons,1789,200
