Year,LGA,Subgroup,Count
2022,Darebin,B322 Non-residential non-aggravated burglary,1
2022,Hume,B321 Residential non-aggravated burglary,9
2022,Hume,B322 Non-residential non-aggravated burglary,3
2022,Melbourne,B321 Residential non-aggravated burglary,1
2022,Melton,B321 Residential non-aggravated burglary,7
2022,Melton,B322 Non-residential non-aggravated burglary,5
2022,Nillumbik,B321 Residential non-aggravated burglary,3
2022,Nillumbik,B322 Non-residential non-aggravated burglary,3
2022,Whittlesea,B321 Residential non-aggravated burglary,4
2022,Whittlesea,B322 Non-residential non-aggravated burglary,2
2022,Wyndham,B321 Residential non-aggravated burglary,2
2022,Wyndham,B322 Non-residential non-aggravated burglary,4
2022,Alpine,B321 Residential non-aggravated burglary,1
2022,Bass Coast,B321 Residential non-aggravated burglary,4
2022,Bass Coast,B322 Non-residential non-aggravated burglary,4
2022,Baw Baw,B311 Residential aggravated burglary,1
2022,Baw Baw,B321 Residential non-aggravated burglary,1
2022,Baw Baw,B322 Non-residential non-aggravated burglary,1
2022,Benalla,B321 Residential non-aggravated burglary,2
2022,Benalla,B322 Non-residential non-aggravated burglary,4
2022,Boroondara,B322 Non-residential non-aggravated burglary,1
2022,East Gippsland,B321 Residential non-aggravated burglary,2
2022,East Gippsland,B322 Non-residential non-aggravated burglary,1
2022,Greater Shepparton,B321 Residential non-aggravated burglary,8
2022,Greater Shepparton,B322 Non-residential non-aggravated burglary,8
2022,Indigo,B312 Non-residential aggravated burglary,1
2022,Indigo,B321 Residential non-aggravated burglary,2
2022,Indigo,B322 Non-residential non-aggravated burglary,3
2022,Latrobe,B321 Residential non-aggravated burglary,3
2022,Latrobe,B322 Non-residential non-aggravated burglary,2
2022,Mansfield,B322 Non-residential non-aggravated burglary,3
2022,Mitchell,B321 Residential non-aggravated burglary,3
2022,Mitchell,B322 Non-residential non-aggravated burglary,6
2022,Moira,B311 Residential aggravated burglary,1
2022,Moira,B321 Residential non-aggravated burglary,4
2022,Moira,B322 Non-residential non-aggravated burglary,9
2022,Murrindindi,B321 Residential non-aggravated burglary,1
2022,Murrindindi,B322 Non-residential non-aggravated burglary,4
2022,South Gippsland,B321 Residential non-aggravated burglary,10
2022,South Gippsland,B322 Non-residential non-aggravated burglary,8
2022,Strathbogie,B311 Residential aggravated burglary,1
2022,Strathbogie,B321 Residential non-aggravated burglary,3
2022,Strathbogie,B322 Non-residential non-aggravated burglary,3
2022,Towong,B321 Residential non-aggravated burglary,2
2022,Wangaratta,B321 Residential non-aggravated burglary,3
2022,Wangaratta,B322 Non-residential non-aggravated burglary,2
2022,Wellington,B321 Residential non-aggravated burglary,12
2022,Wellington,B322 Non-residential non-aggravated burglary,6
2022,Whitehorse,B322 Non-residential non-aggravated burglary,1
2022,Wodonga,B311 Residential aggravated burglary,1
2022,Wodonga,B321 Residential non-aggravated burglary,1
2022,Wodonga,B322 Non-residential non-aggravated burglary,2
2022,Yarra Ranges,B321 Residential non-aggravated burglary,6
2022,Yarra Ranges,B322 Non-residential non-aggravated burglary,10
2022,Cardinia,B311 Residential aggravated burglary,1
2022,Cardinia,B321 Residential non-aggravated burglary,6
2022,Cardinia,B322 Non-residential non-aggravated burglary,4
2022,Casey,B321 Residential non-aggravated burglary,7
2022,Casey,B322 Non-residential non-aggravated burglary,3
2022,Frankston,B322 Non-residential non-aggravated burglary,1
2022,Greater Dandenong,B322 Non-residential non-aggravated burglary,1
2022,Kingston,B322 Non-residential non-aggravated burglary,1
2022,Mornington Peninsula,B321 Residential non-aggravated burglary,2
2022,Mornington Peninsula,B322 Non-residential non-aggravated burglary,3
2022,Ararat,B321 Residential non-aggravated burglary,4
2022,Ararat,B322 Non-residential non-aggravated burglary,1
2022,Ballarat,B311 Residential aggravated burglary,1
2022,Ballarat,B321 Residential non-aggravated burglary,2
2022,Ballarat,B322 Non-residential non-aggravated burglary,6
2022,Campaspe,B321 Residential non-aggravated burglary,10
2022,Campaspe,B322 Non-residential non-aggravated burglary,10
2022,Central Goldfields,B322 Non-residential non-aggravated burglary,2
2022,Colac-Otway,B321 Residential non-aggravated burglary,4
2022,Colac-Otway,B322 Non-residential non-aggravated burglary,2
2022,Corangamite,B321 Residential non-aggravated burglary,2
